List,Display_Title,Grain,Column,Type,Required,Indexed,Choices,Column_Note,List_Note
MF_Installation,MF Installation,One row per installation,Installation_ID,Text,Y,Y,,Canonical key. Must match the COP MF_Installation.Installation_ID.,
MF_Installation,MF Installation,One row per installation,Installation_Name,Text,Y,N,,,
MF_Installation,MF Installation,One row per installation,Portfolio_ID,Text,Y,Y,,,
MF_Installation,MF Installation,One row per installation,MAJCOM,Text,N,N,,,
MF_Installation,MF Installation,One row per installation,Component,Choice,Y,N,Active; ANG; AFRC,"ROUTING FIELD. DAFMAN 34-131 7.14.5: ANG DFAC managers send the EOY inventory last page to NGB/A1X, everyone else to AFSVC/VMF. Without this the EOY requirement routes ANG submissions to the wrong organisation.",
MF_Installation,MF Installation,One row per installation,EOM_Folder_URL,URL,N,N,,Teams/SharePoint FY folder root for this installation,
MF_Installation,MF Installation,One row per installation,Generation_Enabled,Boolean,Y,N,,"EOM-01 generates expected rows ONLY where this is TRUE. This is what lets the app be built and piloted before the enterprise facility registry is complete: turn a base on once its facilities and operating models are validated. A base with Generation_Enabled FALSE shows as 'not yet onboarded', never as compliant.",
MF_Installation,MF Installation,One row per installation,Registry_Validated_By,Text,N,N,,,
MF_Installation,MF Installation,One row per installation,Registry_Validated_Date,DateTime,N,N,,,
MF_Installation,MF Installation,One row per installation,Active_Flag,Boolean,Y,N,,,
MF_Facility,MF Facility,One row per feeding facility,Facility_ID,Text,Y,Y,,"Unique enterprise-wide, not per installation","Operating_Model is HERE, not on the installation. Lackland can run a legacy DFAC and a Food 2.0 cafe simultaneously; the requirement set is driven by the facility's model."
MF_Facility,MF Facility,One row per feeding facility,Installation_ID,Text,Y,Y,,,"Operating_Model is HERE, not on the installation. Lackland can run a legacy DFAC and a Food 2.0 cafe simultaneously; the requirement set is driven by the facility's model."
MF_Facility,MF Facility,One row per feeding facility,Facility_Name,Text,Y,N,,,"Operating_Model is HERE, not on the installation. Lackland can run a legacy DFAC and a Food 2.0 cafe simultaneously; the requirement set is driven by the facility's model."
MF_Facility,MF Facility,One row per feeding facility,Facility_Type,Choice,Y,N,Main DFAC; Flight Kitchen; Kiosk; Satellite; MAF; Contract Cafe,,"Operating_Model is HERE, not on the installation. Lackland can run a legacy DFAC and a Food 2.0 cafe simultaneously; the requirement set is driven by the facility's model."
MF_Facility,MF Facility,One row per feeding facility,Operating_Model,Choice,Y,N,Legacy/APF; Food 2.0; MAFFO/MAF; AOR/CDS,Drives which requirements apply to THIS facility,"Operating_Model is HERE, not on the installation. Lackland can run a legacy DFAC and a Food 2.0 cafe simultaneously; the requirement set is driven by the facility's model."
MF_Facility,MF Facility,One row per feeding facility,Contract_ID,Text,N,N,,Nullable. Set for contract-scope requirements.,"Operating_Model is HERE, not on the installation. Lackland can run a legacy DFAC and a Food 2.0 cafe simultaneously; the requirement set is driven by the facility's model."
MF_Facility,MF Facility,One row per feeding facility,Active_Flag,Boolean,Y,N,,,"Operating_Model is HERE, not on the installation. Lackland can run a legacy DFAC and a Food 2.0 cafe simultaneously; the requirement set is driven by the facility's model."
MF_EOM_Requirement,MF EOM Requirement,One row per document requirement per operating model,Requirement_ID,Text,Y,Y,,,"THE requirement engine. The app queries this; it contains no 'if Legacy then require 1119' logic. Changing a requirement next year is a list edit, not an app rebuild. The drop boxes on the installation screen ARE this list, filtered."
MF_EOM_Requirement,MF EOM Requirement,One row per document requirement per operating model,Document_Code,Text,Y,N,,"1119, 1119-1, SIK, SF1080, DAF79, 1038, SAIIT","THE requirement engine. The app queries this; it contains no 'if Legacy then require 1119' logic. Changing a requirement next year is a list edit, not an app rebuild. The drop boxes on the installation screen ARE this list, filtered."
MF_EOM_Requirement,MF EOM Requirement,One row per document requirement per operating model,Document_Name,Text,Y,N,,,"THE requirement engine. The app queries this; it contains no 'if Legacy then require 1119' logic. Changing a requirement next year is a list edit, not an app rebuild. The drop boxes on the installation screen ARE this list, filtered."
MF_EOM_Requirement,MF EOM Requirement,One row per document requirement per operating model,Applicable_Model,Choice,Y,N,Legacy/APF; Food 2.0; MAFFO/MAF; AOR/CDS; All,'All' applies regardless of facility model,"THE requirement engine. The app queries this; it contains no 'if Legacy then require 1119' logic. Changing a requirement next year is a list edit, not an app rebuild. The drop boxes on the installation screen ARE this list, filtered."
MF_EOM_Requirement,MF EOM Requirement,One row per document requirement per operating model,Requirement_Scope,Choice,Y,N,Facility; Installation; Contract,"Determines the grain of the generated EOM_Item. Portfolio reserved, not implemented.","THE requirement engine. The app queries this; it contains no 'if Legacy then require 1119' logic. Changing a requirement next year is a list edit, not an app rebuild. The drop boxes on the installation screen ARE this list, filtered."
MF_EOM_Requirement,MF EOM Requirement,One row per document requirement per operating model,Applicable_Facility_Types,Text,N,N,,Semicolon list. Blank = all types. Kiosks rarely file a 1119.,"THE requirement engine. The app queries this; it contains no 'if Legacy then require 1119' logic. Changing a requirement next year is a list edit, not an app rebuild. The drop boxes on the installation screen ARE this list, filtered."
MF_EOM_Requirement,MF EOM Requirement,One row per document requirement per operating model,Frequency,Choice,Y,N,Monthly; Quarterly; Semiannual; Annual; Conditional,"Conditional requirements are NEVER auto-generated. The 1119-1 is field feeding and only exists when field feeding occurred, so it is added by the base or the reviewer, not by EOM-01.","THE requirement engine. The app queries this; it contains no 'if Legacy then require 1119' logic. Changing a requirement next year is a list edit, not an app rebuild. The drop boxes on the installation screen ARE this list, filtered."
MF_EOM_Requirement,MF EOM Requirement,One row per document requirement per operating model,Applicable_Period_Month,Number,N,N,,"For Annual. 9 = the September period, where EOY requirements land. EOY is the same engine, not a second application.","THE requirement engine. The app queries this; it contains no 'if Legacy then require 1119' logic. Changing a requirement next year is a list edit, not an app rebuild. The drop boxes on the installation screen ARE this list, filtered."
MF_EOM_Requirement,MF EOM Requirement,One row per document requirement per operating model,Routing_Org,Text,N,N,,Where the accepted document goes. Usually AFSVC/VMF; NGB/A1X for ANG on the EOY inventory. Resolved against MF_Installation.Component.,"THE requirement engine. The app queries this; it contains no 'if Legacy then require 1119' logic. Changing a requirement next year is a list edit, not an app rebuild. The drop boxes on the installation screen ARE this list, filtered."
MF_EOM_Requirement,MF EOM Requirement,One row per document requirement per operating model,Required_Flag,Boolean,Y,N,,,"THE requirement engine. The app queries this; it contains no 'if Legacy then require 1119' logic. Changing a requirement next year is a list edit, not an app rebuild. The drop boxes on the installation screen ARE this list, filtered."
MF_EOM_Requirement,MF EOM Requirement,One row per document requirement per operating model,Due_Day,Number,Y,N,,FIRST suspense. Day of the month following the reporting period. Confirmed 26 Aug 2026: 5 days after month end. Configurable — changing it never touches the app.,"THE requirement engine. The app queries this; it contains no 'if Legacy then require 1119' logic. Changing a requirement next year is a list edit, not an app rebuild. The drop boxes on the installation screen ARE this list, filtered."
MF_EOM_Requirement,MF EOM Requirement,One row per document requirement per operating model,Due_Basis,Choice,Y,N,CALENDAR; DUTY,"CALENDAR is the baseline. The source says 'within 5 days' and does not say duty days, business days or workdays. Do not infer duty days without a citation.","THE requirement engine. The app queries this; it contains no 'if Legacy then require 1119' logic. Changing a requirement next year is a list edit, not an app rebuild. The drop boxes on the installation screen ARE this list, filtered."
MF_EOM_Requirement,MF EOM Requirement,One row per document requirement per operating model,Final_Due_Day,Number,Y,N,,"SECOND and final call — the 10th. This is a MANAGEMENT_RULE from the programme, not from the procedure deck. Label it as such.","THE requirement engine. The app queries this; it contains no 'if Legacy then require 1119' logic. Changing a requirement next year is a list edit, not an app rebuild. The drop boxes on the installation screen ARE this list, filtered."
MF_EOM_Requirement,MF EOM Requirement,One row per document requirement per operating model,Final_Due_Basis,Choice,Y,N,CALENDAR; DUTY,,"THE requirement engine. The app queries this; it contains no 'if Legacy then require 1119' logic. Changing a requirement next year is a list edit, not an app rebuild. The drop boxes on the installation screen ARE this list, filtered."
MF_EOM_Requirement,MF EOM Requirement,One row per document requirement per operating model,NonDutyDay_Policy,Choice,Y,N,NEXT_DUTY_DAY; PREVIOUS_DUTY_DAY; NO_ADJUSTMENT,"What happens when a nominal suspense lands on a weekend or federal holiday. Default NEXT_DUTY_DAY. Configured, never buried in Power Fx.","THE requirement engine. The app queries this; it contains no 'if Legacy then require 1119' logic. Changing a requirement next year is a list edit, not an app rebuild. The drop boxes on the installation screen ARE this list, filtered."
MF_EOM_Requirement,MF EOM Requirement,One row per document requirement per operating model,Due_Offset_Months,Number,N,N,,Usually 1. Set higher for lagging requirements.,"THE requirement engine. The app queries this; it contains no 'if Legacy then require 1119' logic. Changing a requirement next year is a list edit, not an app rebuild. The drop boxes on the installation screen ARE this list, filtered."
MF_EOM_Requirement,MF EOM Requirement,One row per document requirement per operating model,QC_Required,Boolean,Y,N,,,"THE requirement engine. The app queries this; it contains no 'if Legacy then require 1119' logic. Changing a requirement next year is a list edit, not an app rebuild. The drop boxes on the installation screen ARE this list, filtered."
MF_EOM_Requirement,MF EOM Requirement,One row per document requirement per operating model,Accepted_File_Types,Text,N,N,,Advisory only in MVP. xlsx;pdf,"THE requirement engine. The app queries this; it contains no 'if Legacy then require 1119' logic. Changing a requirement next year is a list edit, not an app rebuild. The drop boxes on the installation screen ARE this list, filtered."
MF_EOM_Requirement,MF EOM Requirement,One row per document requirement per operating model,Authority_Reference,Text,N,N,,UNVERIFIED means do not enforce. The app still shows the box; the requirement is inactive until validated.,"THE requirement engine. The app queries this; it contains no 'if Legacy then require 1119' logic. Changing a requirement next year is a list edit, not an app rebuild. The drop boxes on the installation screen ARE this list, filtered."
MF_EOM_Requirement,MF EOM Requirement,One row per document requirement per operating model,Authority_Status,Choice,Y,N,VERIFIED; MANAGEMENT_RULE; PROPOSED; UNVERIFIED; RETIRED_OR_NOT_APPLICABLE,"Authority for the REQUIREMENT EXISTING. VERIFIED means a cited source says this document is part of the package. MANAGEMENT_RULE means leadership set it and no external citation is needed or claimed. RETIRED keeps a definition on the record without generating it, so later guidance can reactivate without a schema change.","THE requirement engine. The app queries this; it contains no 'if Legacy then require 1119' logic. Changing a requirement next year is a list edit, not an app rebuild. The drop boxes on the installation screen ARE this list, filtered."
